,node_id,community,Betweenness,Out-degree,In-degree,Clustering,Type
581498468,2606645,A,11453445377.74576,11687.0,13.0,3.628617654986527e-05,Other
2371344122,11287120,A,2969508570.23804,11667.0,1.0,8.128733264070057e-06,Other
3427097008,14365552,A,4775245015.052309,11656.0,1.0,9.658736720994286e-05,Other
168606911,9158721,A,8565449200.548971,11641.0,48.0,9.161001334113673e-05,Other
329702603,17812948,A,0.0,11593.0,0.0,2.5342967105605263e-05,Other
2422330579,33269,A,5340203375.047729,11560.0,20.0,0.0001415728714521027,Other
162326458,2852999,A,2423925990.1636505,11525.0,8.0,0.0005108558565076058,Other
758868107586699264,2792834,A,8261572539.322822,11515.0,20.0,0.0001652014262399864,Other
110019491,1884537,A,5189192689.201176,11500.0,27.0,0.0001815415800552308,Other
987388812681719809,1414271,A,3908285480.206916,11475.0,19.0,0.00010720751417011907,Other
46134061,3335681,E,8887615770.598806,11453.0,32.0,0.00048250979468836546,Other
435948436,5579975,A,9231467903.265123,11438.0,10.0,0.00025624907312008866,Other
36705125,8379634,A,2233187850.4955325,11430.0,5.0,6.428986558730769e-05,Other
940421518017916933,20628779,A,2932312959.5892854,11426.0,1.0,9.842976425165478e-05,Other
77541666,4346220,A,25053414152.937195,11418.0,137.0,0.0005017892882443252,Other
1162565625992089601,6696033,A,0.0,11414.0,0.0,2.4283211841453126e-06,Other
250475206,4690545,A,8286337357.426413,11407.0,5.0,2.247359548521146e-05,Other
15652540,2442465,A,2032501976.2347307,11401.0,323.0,0.0003589498206260386,Other
128080036,2374787,A,10783697859.399498,11390.0,11.0,4.063031459025667e-05,Other
2168267349,196293,A,11977898445.509441,11385.0,20.0,0.00013415527120922978,Other
75014036,20952103,A,0.0,11362.0,0.0,7.600851632781958e-05,Other
1205456180610514944,2299924,A,8232236479.243648,11321.0,22.0,2.8641242717256608e-05,Other
261596290,126776,A,9482191345.352499,11285.0,49.0,0.0009040152085486559,Other
1109170952145960962,807994,A,13374415219.582064,11273.0,45.0,0.00010867267548613887,Other
1006064993282842624,611820,E,0.0,11254.0,0.0,0.0003747285699514011,Other
356517051,18086720,A,6996527204.882094,11242.0,2.0,1.3753258546698404e-05,Other
1230892058455527430,8053779,A,7323991643.091818,11237.0,7.0,7.48132732464623e-05,Other
27260086,14720814,A,14105983917.439829,11215.0,1.0,7.42446190251746e-05,Other
347910883,6641014,A,1952297357.8356092,11207.0,23.0,0.0003052585638809294,Other
4739603176,19487534,A,0.0,11192.0,0.0,5.348942741177925e-05,Other
1096837905568485377,3402964,A,9054349120.042831,11146.0,6.0,8.948382820474702e-06,Other
1085654384686571520,4259122,O,0.0,11124.0,0.0,9.319226123906541e-06,Other
963204890842615809,17714466,A,0.0,11111.0,4.0,9.913590367804666e-06,Other
188042891,5510797,A,21775434427.87147,11075.0,7.0,0.0001294798668183788,Other
1215594830925045761,8167832,A,0.0,11073.0,0.0,2.4678925212610664e-05,Other
1215391216767991808,8156485,A,14308407771.793497,11067.0,4.0,2.0709538951267635e-05,Other
1206940060483932163,7979597,E,0.0,11041.0,1.0,1.1728602455132306e-05,Other
447847201,6275033,A,6098330317.722502,11034.0,1.0,4.255643995309965e-06,Other
2926414332,4080917,A,3705675772.8134546,10966.0,8.0,0.00020314098077626433,Other
1377908281,23324,A,87672610294.41597,10963.0,177.0,0.0011743312280903578,Other
32391821,14414611,E,9614427579.229944,10952.0,7.0,0.0001541668802260737,Other
829105416726458368,5617528,A,2722214181.1508718,10950.0,4.0,1.748956311571515e-05,Other
102912541,1995902,E,10877605848.11072,10932.0,29.0,0.0006961239993258708,Other
1000380681510379520,86464,A,15262890182.787367,10930.0,2.0,7.228067845227446e-06,Other
758555106488885250,760227,A,3561241071.2716503,10899.0,7.0,6.057859248643546e-05,Other
580097412,19477819,A,9521827949.049274,10882.0,2.0,1.7324165051674648e-05,Other
1177787175628349440,7134121,A,2548386752.223564,10870.0,1.0,0.00010826362660204922,Other
154787409,9777639,A,9194382254.142424,10866.0,13.0,0.0002653274319074372,Other
448623504,8684625,A,9374459365.849354,10860.0,14.0,6.944641197810063e-05,Other
55390754,20035095,A,1575116137.1891923,10825.0,1.0,7.602036724291938e-05,Other
154221292,5492662,A,21128457123.640022,10789.0,6.0,1.8803090160145093e-05,Other
16863381,9882024,A,6067100352.578684,10784.0,5.0,3.50050991564632e-05,Other
1215879444251975680,6899679,A,8744237943.657413,10772.0,1.0,1.3861630412210234e-05,Other
1120895613623603200,5469902,A,0.0,10763.0,4.0,9.488108263566789e-06,Other
897838510778064898,22148447,A,0.0,10761.0,1.0,1.3084474234335658e-05,Other
21072005,1507971,A,20788497336.67545,10756.0,176.0,0.0011168101884250468,Other
2201300195,14367758,A,9069144582.659403,10752.0,2.0,1.6858247495169914e-05,Other
1153603275306033152,166340,A,16653819595.289568,10752.0,80.0,0.0005686751473027959,Other
776291142,7330047,A,3397708810.605557,10742.0,6.0,5.139243955572131e-05,Other
266269231,682957,E,24753371047.93625,10740.0,445.0,0.0018771470470051964,Other
786043640032276480,63841,A,8841003726.676773,10724.0,19.0,4.4762846733071546e-05,Other
23375688,12466360,A,15896348705.29268,10712.0,1.0,2.869267350974668e-05,Other
141085108,9700264,A,3630456656.616363,10707.0,2.0,4.6523978479441475e-05,Other
3947393713,1198632,A,5382686257.972566,10690.0,61.0,0.0005462711153695447,Other
2379932017,7207433,A,10644734396.478647,10682.0,5.0,9.451852194776194e-06,Other
977712712682786816,1116414,A,4913325323.84859,10664.0,17.0,0.00017010614447957923,Other
