,node_id,community,Betweenness,Out-degree,In-degree,Clustering,Super-community
604883169,5577373,D,100152332.79999398,5339.0,25.0,0.01620316894316117,National elite
62014896,1606384,D,478424885.0731554,5357.0,287.0,0.03145759697677004,National elite
17340546,10187522,D,3402458543.782451,5321.0,25.0,0.0032322945861813024,National elite
24378502,15327259,D,0.0,5859.0,0.0,0.004963276564354213,National elite
194606502,251416,D,1121280988.711059,5288.0,32.0,0.0060738468213018485,National elite
172325520,788019,D,16858051930.54786,5291.0,2978.0,0.005058579670123607,National elite
818200542564454401,1072132,D,1026538525.6643726,5279.0,461.0,0.028077772611020693,National elite
128216887,3211747,D,973623868.6758837,5273.0,25.0,0.003031104293481211,National elite
133033883,3526296,D,7975683953.067657,5277.0,54.0,0.0009692051804869139,National elite
1342967244,1053118,D,1601311131.7991285,5266.0,56.0,0.0066985265102307515,National elite
3025939600,1462711,D,1214220550.1161644,5301.0,585.0,0.015256897863742961,National elite
39496081,859328,D,1586811824.2231812,5270.0,137.0,0.029812139978281613,National elite
25097735,1746828,D,2143086017.8102329,5302.0,136.0,0.012528215760240862,National elite
1347250338,1053149,D,511186658.18272763,5327.0,43.0,0.012252449052084799,National elite
771596778,721974,D,62678624.93340007,5234.0,13.0,0.015691100748566274,National elite
20687723,2165768,D,3286241933.355346,5247.0,395.0,0.0025747236758725924,National elite
931651609456717827,1343587,D,1757032605.9927578,5272.0,215.0,0.01717136950839711,National elite
20548283,251516,D,22198861384.857235,5228.0,198.0,0.007067821483984423,National elite
46326721,9411121,I,828888239.2649481,5216.0,78.0,0.0008527457998102849,National elite
180414031,9496510,D,524400785.26159513,5200.0,55.0,0.004743518649219956,National elite
2908557537,1421916,D,29770097799.820984,5200.0,90.0,0.00028688691287791354,National elite
83011510,1072355,D,3060654436.6949663,5185.0,46.0,0.002095994119379232,National elite
43525891,7259376,M,2269639680.8177066,5174.0,57.0,0.025224771782156968,National elite
77821953,4415731,D,916907058.0200479,5178.0,285.0,0.013488340544314284,National elite
110692399,567089,D,24627771832.03417,5170.0,303.0,0.011014529132279316,National elite
613469003,573883,D,8951553535.514679,5197.0,93.0,0.0016050659374527677,National elite
465965880,3332666,D,12489569023.866213,5160.0,159.0,0.0031813475255772464,National elite
586609060,2324515,D,731905033.3538673,5784.0,77.0,0.008150770540124454,National elite
3237611533,556707,J,1948609194.46681,5148.0,417.0,0.03763720138619142,National elite
15143478,11066722,D,2245963685.33972,5149.0,2.0,0.00019009823517563023,National elite
237612784,286200,M,3688840158.4642787,5222.0,2671.0,0.051636219593745605,National elite
148342320,10877042,D,90704394.53563693,5146.0,4.0,0.006433741418345703,National elite
866010939916775425,603893,D,2482781494.6128917,5179.0,248.0,0.027879940183868274,National elite
1125741605342908416,894374,D,15895936451.578018,5145.0,956.0,0.06556439599850332,National elite
347170988,5885899,D,1343444092.6294332,5115.0,45.0,0.006500180518666837,National elite
174646175,1619630,D,3301421883.4612765,5132.0,86.0,0.009003513699781257,National elite
458184349,157756,M,3766532631.6973505,5106.0,266.0,0.03695278126312323,National elite
143478208,3775526,D,5458991668.01774,5109.0,34.0,0.0009060580209209912,National elite
1387705460,1592341,D,168260922.4145844,5091.0,16.0,0.018716237544075386,National elite
159146922,515459,D,1546723219.9210017,5158.0,200.0,0.002660992630805241,National elite
166426325,858673,D,1116248551.018926,5072.0,245.0,0.0242970658070274,National elite
46609085,1867947,D,4413466140.022652,5229.0,313.0,0.020251111559423753,National elite
303852879,84993,D,1295328901.1128592,5073.0,221.0,0.019250487328676652,National elite
100561484,591276,D,2749835601.7515407,5078.0,310.0,0.02831562651808936,National elite
1069697383829651456,3422796,J,293078884.1429098,5065.0,147.0,0.010373135025357532,National elite
19837528,10924586,D,4579911882.311218,5097.0,13.0,0.0018848361893659777,National elite
16312576,11757069,I,1849660179.9265742,5062.0,4.0,5.873847822157961e-05,National elite
2698422738,772210,D,306770547.1376471,5047.0,65.0,0.015501545471591903,National elite
460401829,5843739,D,1669480641.7001839,5896.0,10.0,0.00785835310420022,National elite
621523,3738655,D,2606919298.0865154,5068.0,198.0,0.0014000701395871095,National elite
4009759281,1629742,D,549578298.4667143,5029.0,3.0,0.0003126421709897765,National elite
253688871,12785813,J,2501741762.3284054,5133.0,9.0,0.0007311122742553632,National elite
3301743261,466353,D,2014452630.55909,4990.0,178.0,0.012645777098477919,National elite
17590516,1569577,D,3479578610.6338224,4963.0,153.0,0.004179564356846222,National elite
157044469,11424184,D,430368156.0788839,4954.0,13.0,0.005337140118650105,National elite
20582958,13565680,D,886178640.4844824,5042.0,5.0,0.000677495327796059,National elite
1031872658575642624,2090348,D,15351072558.806707,4935.0,175.0,0.006710726287209289,National elite
15249629,10747363,D,1270060979.5873055,4993.0,19.0,0.005262224898798697,National elite
4892685173,772649,D,2461576706.4468746,4926.0,306.0,0.008524389153564176,National elite
1245256502518177792,729281,D,832741767.5828755,4914.0,120.0,0.013067009939571744,National elite
1454928205,272029,J,13378315144.807447,4912.0,990.0,0.033630662829716565,National elite
1241352854297808899,793828,D,3337102628.9102635,4955.0,684.0,0.0227047959651033,National elite
16396368,1621905,I,1406719644.5709512,4908.0,134.0,0.0009773278237130566,National elite
14881700,1631309,D,4872975727.365161,4999.0,69.0,0.00818301583474273,National elite
830808076756328448,3732466,D,371239349.7875582,4952.0,51.0,0.013644850478536344,National elite
453473029,252946,D,2349818029.1952777,4886.0,105.0,0.010598957233430477,National elite
1215319032880156675,8154334,D,165247204.17009413,4906.0,9.0,0.005835166992076528,National elite
